time,dir,queue,vehicles,mean_speed
878.0,N,0,0,27.78
878.0,E,0,0,16.67
878.0,S,0,0,16.67
879.0,W,0,0,16.67
879.0,N,0,0,27.78
879.0,E,0,0,16.67
879.0,S,0,0,16.67
880.0,W,0,0,16.67
880.0,N,0,0,27.78
880.0,E,0,0,16.67
880.0,S,0,0,16.67
881.0,W,0,0,16.67
881.0,N,0,0,27.78
881.0,E,0,0,16.67
881.0,S,0,0,16.67
882.0,W,0,0,16.67
882.0,N,0,0,27.78
882.0,E,0,0,16.67
882.0,S,0,0,16.67
883.0,W,0,0,16.67
883.0,N,0,0,27.78
883.0,E,0,0,16.67
883.0,S,0,0,16.67
884.0,W,0,0,16.67
884.0,N,0,0,27.78
884.0,E,0,0,16.67
884.0,S,0,0,16.67
885.0,W,0,0,16.67
885.0,N,0,0,27.78
885.0,E,0,0,16.67
885.0,S,0,0,16.67
886.0,W,0,0,16.67
886.0,N,0,0,27.78
886.0,E,0,0,16.67
886.0,S,0,0,16.67
887.0,W,0,0,16.67
887.0,N,0,0,27.78
887.0,E,0,0,16.67
887.0,S,0,0,16.67
888.0,W,0,0,16.67
888.0,N,0,0,27.78
888.0,E,0,0,16.67
888.0,S,0,0,16.67
889.0,W,0,0,16.67
889.0,N,0,0,27.78
889.0,E,0,0,16.67
889.0,S,0,0,16.67
890.0,W,0,0,16.67
890.0,N,0,0,27.78
890.0,E,0,0,16.67
890.0,S,0,0,16.67
891.0,W,0,0,16.67
891.0,N,0,0,27.78
891.0,E,0,0,16.67
891.0,S,0,0,16.67
892.0,W,0,0,16.67
892.0,N,0,0,27.78
892.0,E,0,0,16.67
892.0,S,0,0,16.67
893.0,W,0,0,16.67
893.0,N,0,0,27.78
893.0,E,0,0,16.67
893.0,S,0,0,16.67
894.0,W,0,0,16.67
894.0,N,0,0,27.78
894.0,E,0,0,16.67
894.0,S,0,0,16.67
895.0,W,0,0,16.67
895.0,N,0,0,27.78
895.0,E,0,0,16.67
895.0,S,0,0,16.67
896.0,W,0,0,16.67
896.0,N,0,0,27.78
896.0,E,0,0,16.67
896.0,S,0,0,16.67
897.0,W,0,0,16.67
897.0,N,0,0,27.78
897.0,E,0,0,16.67
897.0,S,0,0,16.67
898.0,W,0,0,16.67
898.0,N,0,0,27.78
898.0,E,0,0,16.67
898.0,S,0,0,16.67
899.0,W,0,0,16.67
899.0,N,0,0,27.78
899.0,E,0,0,16.67
