timestamp,total_vehicles,lane_left,lane_center,lane_right
2026-04-15 20:23:43,2,1,1,0
2026-04-15 20:23:43,2,1,1,0
2026-04-15 20:23:43,2,1,1,0
2026-04-15 20:23:44,2,1,1,0
2026-04-15 20:23:44,2,1,1,0
2026-04-15 20:23:44,2,1,1,0
2026-04-15 20:23:45,2,1,1,0
2026-04-15 20:23:45,2,1,1,0
2026-04-15 20:23:46,1,1,0,0
2026-04-15 20:23:46,1,1,0,0
2026-04-15 20:23:46,1,1,0,0
2026-04-15 20:23:47,1,1,0,0
2026-04-15 20:23:47,1,1,0,0
2026-04-15 20:23:48,1,1,0,0
2026-04-15 20:23:48,1,1,0,0
2026-04-15 20:23:48,1,1,0,0
2026-04-15 20:23:49,1,1,0,0
2026-04-15 20:23:49,1,1,0,0
2026-04-15 20:23:49,1,1,0,0
2026-04-15 20:23:50,1,1,0,0
2026-04-15 20:23:50,1,1,0,0
2026-04-15 20:23:51,1,1,0,0
2026-04-15 20:23:51,1,1,0,0
2026-04-15 20:23:51,1,1,0,0
2026-04-15 20:23:52,1,1,0,0
2026-04-15 20:23:52,1,1,0,0
2026-04-15 20:23:53,1,1,0,0
2026-04-15 20:23:53,1,1,0,0
2026-04-15 20:23:54,1,1,0,0
2026-04-15 20:23:54,1,1,0,0
2026-04-15 20:23:54,1,1,0,0
2026-04-15 20:23:55,1,1,0,0
2026-04-15 20:23:55,1,1,0,0
2026-04-15 20:23:56,1,1,0,0
2026-04-15 20:23:57,1,1,0,0
2026-04-15 20:23:57,1,1,0,0
2026-04-15 20:23:57,1,1,0,0
2026-04-15 20:23:58,1,1,0,0
2026-04-15 20:23:58,1,1,0,0
2026-04-15 20:23:58,1,1,0,0
2026-04-15 20:23:59,1,1,0,0
2026-04-15 20:23:59,1,1,0,0
2026-04-15 20:23:59,1,1,0,0
2026-04-15 20:24:00,1,1,0,0
2026-04-15 20:24:00,1,1,0,0
2026-04-15 20:24:01,1,1,0,0
2026-04-15 20:24:01,1,1,0,0
2026-04-15 20:24:01,1,1,0,0
2026-04-15 20:24:02,1,1,0,0
2026-04-15 20:24:02,2,1,1,0
2026-04-15 20:24:02,2,1,1,0
2026-04-15 20:24:03,1,1,0,0
2026-04-15 20:24:03,2,1,1,0
2026-04-15 20:24:04,2,1,1,0
2026-04-15 20:24:04,1,1,0,0
2026-04-15 20:24:04,1,1,0,0
2026-04-15 20:24:05,1,1,0,0
2026-04-15 20:24:05,1,1,0,0
2026-04-15 20:24:06,1,1,0,0
2026-04-15 20:24:06,1,1,0,0
2026-04-15 20:24:06,2,1,1,0
2026-04-15 20:24:07,2,1,1,0
2026-04-15 20:24:07,2,1,1,0
2026-04-15 20:24:07,2,1,1,0
2026-04-15 20:24:08,2,1,1,0
2026-04-15 20:24:08,2,1,1,0
