timestamp,total_vehicles,lane_left,lane_center,lane_right
2026-04-14 15:11:13,2,1,1,0
2026-04-14 15:11:13,2,1,1,0
2026-04-14 15:11:13,2,1,1,0
2026-04-14 15:11:13,2,1,1,0
2026-04-14 15:11:13,2,1,1,0
2026-04-14 15:11:14,2,1,1,0
2026-04-14 15:11:14,2,1,1,0
2026-04-14 15:11:14,2,1,1,0
2026-04-14 15:11:14,2,1,1,0
2026-04-14 15:11:14,2,1,1,0
2026-04-14 15:11:15,2,1,1,0
2026-04-14 15:11:15,2,1,1,0
2026-04-14 15:11:15,2,1,1,0
2026-04-14 15:11:15,2,1,1,0
2026-04-14 15:11:16,2,1,1,0
2026-04-14 15:11:16,2,1,1,0
2026-04-14 15:11:16,2,1,1,0
2026-04-14 15:11:16,2,1,1,0
2026-04-14 15:11:16,2,1,1,0
2026-04-14 15:11:17,2,1,1,0
2026-04-14 15:11:17,1,1,0,0
2026-04-14 15:11:17,1,1,0,0
2026-04-14 15:11:17,1,1,0,0
2026-04-14 15:11:18,1,1,0,0
2026-04-14 15:11:18,1,1,0,0
2026-04-14 15:11:18,1,1,0,0
2026-04-14 15:11:18,1,1,0,0
2026-04-14 15:11:18,1,1,0,0
2026-04-14 15:11:19,1,1,0,0
2026-04-14 15:11:19,1,1,0,0
2026-04-14 15:11:19,1,1,0,0
2026-04-14 15:11:19,1,1,0,0
2026-04-14 15:11:20,1,1,0,0
2026-04-14 15:11:20,1,1,0,0
2026-04-14 15:11:20,1,1,0,0
2026-04-14 15:11:20,1,1,0,0
2026-04-14 15:11:20,1,1,0,0
2026-04-14 15:11:21,1,1,0,0
2026-04-14 15:11:21,1,1,0,0
2026-04-14 15:11:21,1,1,0,0
2026-04-14 15:11:21,1,1,0,0
2026-04-14 15:11:22,1,1,0,0
2026-04-14 15:11:22,1,1,0,0
2026-04-14 15:11:22,1,1,0,0
2026-04-14 15:11:22,1,1,0,0
2026-04-14 15:11:22,1,1,0,0
2026-04-14 15:11:23,1,1,0,0
2026-04-14 15:11:23,1,1,0,0
2026-04-14 15:11:23,1,1,0,0
2026-04-14 15:11:23,1,1,0,0
2026-04-14 15:11:24,1,1,0,0
2026-04-14 15:11:24,1,1,0,0
2026-04-14 15:11:24,1,1,0,0
2026-04-14 15:11:24,1,1,0,0
2026-04-14 15:11:24,1,1,0,0
2026-04-14 15:11:25,1,1,0,0
2026-04-14 15:11:25,1,1,0,0
2026-04-14 15:11:25,1,1,0,0
2026-04-14 15:11:25,1,1,0,0
2026-04-14 15:11:26,1,1,0,0
2026-04-14 15:11:26,1,1,0,0
2026-04-14 15:11:26,2,1,1,0
2026-04-14 15:11:26,2,1,1,0
2026-04-14 15:11:26,1,1,0,0
2026-04-14 15:11:27,2,1,1,0
2026-04-14 15:11:27,2,1,1,0
2026-04-14 15:11:27,1,1,0,0
2026-04-14 15:11:27,1,1,0,0
2026-04-14 15:11:28,1,1,0,0
2026-04-14 15:11:28,1,1,0,0
2026-04-14 15:11:28,1,1,0,0
2026-04-14 15:11:28,1,1,0,0
2026-04-14 15:11:28,2,1,1,0
2026-04-14 15:11:29,2,1,1,0
2026-04-14 15:11:29,2,1,1,0
2026-04-14 15:11:29,2,1,1,0
2026-04-14 15:11:29,2,1,1,0
2026-04-14 15:11:29,2,1,1,0
