time,intersection,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
300,Kulatov_244500424,0,1,58.31,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
310,Vefa_244500423,2,5,43.02,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
310,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
320,Vefa_244500423,2,3,49.49,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
320,Kulatov_244500424,0,1,52.41,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
330,Vefa_244500423,0,2,58.59,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
330,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
340,Vefa_244500423,0,1,59.75,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
340,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
350,Vefa_244500423,0,3,58.22,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
350,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
360,Vefa_244500423,0,1,59.8,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
360,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
370,Vefa_244500423,0,4,57.92,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
370,Kulatov_244500424,0,1,48.73,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
380,Vefa_244500423,1,2,50.07,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
380,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
390,Vefa_244500423,0,5,53.2,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
390,Kulatov_244500424,0,1,59.56,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
400,Vefa_244500423,3,5,50.07,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
400,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
410,Vefa_244500423,0,3,51.12,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
410,Kulatov_244500424,0,2,56.87,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
420,Vefa_244500423,1,1,55.01,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
420,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
430,Vefa_244500423,0,0,0,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
430,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
440,Vefa_244500423,0,1,59.85,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
440,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
450,Vefa_244500423,0,2,57.4,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
450,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
460,Vefa_244500423,1,8,53.05,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
460,Kulatov_244500424,0,2,53.1,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
470,Vefa_244500423,0,2,54.49,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
470,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
480,Vefa_244500423,0,3,56.96,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
480,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
490,Vefa_244500423,1,3,49.28,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
490,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
500,Vefa_244500423,2,3,49.86,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
500,Kulatov_244500424,0,1,58.98,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
510,Vefa_244500423,0,3,55.52,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
510,Kulatov_244500424,0,1,59.36,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
520,Vefa_244500423,0,1,59.97,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
520,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
530,Vefa_244500423,0,0,0,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
530,Kulatov_244500424,1,1,45.01,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
540,Vefa_244500423,0,1,59.66,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
540,Kulatov_244500424,0,1,54.61,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
550,Vefa_244500423,0,5,57.0,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
