time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
420,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
430,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
430,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
430,E,0,1,59.92,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
430,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
440,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
440,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
440,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
440,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
450,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
450,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
450,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
450,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
460,W,0,1,59.46,4,L0(s)|L1(s) / L0(l)|L1(l),0,
460,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
460,E,0,1,59.56,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
460,S,0,1,59.98,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
470,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
470,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
470,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
470,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
480,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
480,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
480,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
480,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
490,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
490,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
490,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
490,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
500,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
500,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
500,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
500,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
510,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
510,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
510,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
510,S,0,1,58.64,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
520,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
520,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
520,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
520,S,0,1,57.8,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
530,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
530,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
530,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
530,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
540,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
540,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
540,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
540,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
550,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
550,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
550,E,0,2,59.04,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
550,S,0,1,58.48,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
560,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
560,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
560,E,0,1,59.92,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
560,S,0,1,59.82,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
570,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
570,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
570,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
570,S,0,1,58.01,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
580,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
580,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
580,E,0,1,59.71,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
580,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
590,W,0,1,57.36,4,L0(s)|L1(s) / L0(l)|L1(l),0,
590,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
590,E,0,1,46.3,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
590,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
600,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
600,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
600,E,0,1,59.56,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
600,S,0,1,59.94,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
610,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
610,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
610,E,0,1,57.8,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
610,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
620,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
620,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
620,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
620,S,0,1,57.85,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
630,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
630,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
630,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
630,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
640,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
640,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
640,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
640,S,0,1,57.92,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
650,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
650,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
650,E,0,1,59.56,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
650,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
660,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
660,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
660,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
660,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
670,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
670,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
670,E,0,3,56.27,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
670,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
680,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
680,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
680,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
680,S,0,2,54.27,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
690,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
690,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
690,E,0,1,57.57,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
690,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
700,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
700,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
700,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
700,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
710,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
710,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
710,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
710,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
720,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
720,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
720,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
720,S,0,1,57.64,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
730,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
730,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
730,E,0,2,57.85,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
730,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
740,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
740,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
740,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
740,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
750,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
750,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
750,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
750,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
760,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
